bench_ts,storage,size,file_type,operation,objects,size_mb,generate_seconds,generate_mbps,upload_seconds,upload_mbps,download_seconds,download_mbps,list_seconds,query_filter_region,query_start_ts,query_end_ts,query_grouped_by,query_seconds,query_rows,query_result_groups
2026-05-20T21:59:36.008074+00:00,aws,L,parquet,list+query,20,1578.44,,,,,,,0.782,Switzerland,10.04.2026,20.04.2026,event_type,305.5,1665903,4
2026-05-20T22:10:18.813997+00:00,aws,L,csv,list,20,5976.46,,,,,,,0.438,,,,,,,
2026-05-20T22:10:19.904016+00:00,aws,L,parquet,list,20,1578.44,,,,,,,0.407,,,,,,,
2026-05-20T22:10:26.327041+00:00,aws,L,csv,list,20,5976.46,,,,,,,0.448,,,,,,,
2026-05-20T22:10:27.329557+00:00,aws,L,parquet,list,20,1578.44,,,,,,,0.401,,,,,,,
2026-05-20T22:10:33.635079+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.348,,,,,,,
2026-05-20T22:10:34.522874+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.382,,,,,,,
2026-05-20T22:10:37.910262+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.374,,,,,,,
2026-05-20T22:10:38.839436+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.669,,,,,,,
2026-05-20T22:10:41.939911+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.385,,,,,,,
2026-05-20T22:10:42.924864+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.386,,,,,,,
2026-05-20T22:10:49.996757+00:00,aws,S,csv,list,1,298.82,,,,,,,0.331,,,,,,,
2026-05-20T22:10:50.855940+00:00,aws,S,parquet,list,1,78.92,,,,,,,0.371,,,,,,,
2026-05-20T22:10:54.799884+00:00,aws,S,csv,list,1,298.82,,,,,,,0.36,,,,,,,
2026-05-20T22:10:56.415163+00:00,aws,S,parquet,list,1,78.92,,,,,,,0.368,,,,,,,
2026-05-20T22:11:01.799617+00:00,aws,L,csv,list,20,5976.46,,,,,,,0.427,,,,,,,
2026-05-20T22:11:02.793246+00:00,aws,L,parquet,list,20,1578.44,,,,,,,0.468,,,,,,,
2026-05-20T22:11:09.896372+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.41,,,,,,,
2026-05-20T22:11:10.874016+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.415,,,,,,,
2026-05-20T22:11:17.742019+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.428,,,,,,,
2026-05-20T22:11:18.785451+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.637,,,,,,,
2026-05-20T22:11:27.258907+00:00,azure,M,csv,list,5,1494.12,,,,,,,0.084,,,,,,,
2026-05-20T22:11:27.873244+00:00,azure,M,parquet,list,5,394.61,,,,,,,0.114,,,,,,,
2026-05-20T22:11:31.735415+00:00,azure,M,csv,list,5,1494.12,,,,,,,0.12,,,,,,,
2026-05-20T22:11:32.285290+00:00,azure,M,parquet,list,5,394.61,,,,,,,0.153,,,,,,,
2026-05-20T22:11:39.974314+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.081,,,,,,,
2026-05-20T22:11:40.578005+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.127,,,,,,,
2026-05-20T22:11:47.021516+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.119,,,,,,,
2026-05-20T22:11:47.688252+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.107,,,,,,,
2026-05-20T22:11:51.574859+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.11,,,,,,,
2026-05-20T22:11:52.161462+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.137,,,,,,,
2026-05-20T22:11:58.117711+00:00,azure,S,csv,list,1,298.82,,,,,,,0.059,,,,,,,
2026-05-20T22:11:58.565079+00:00,azure,S,parquet,list,1,78.92,,,,,,,0.063,,,,,,,
2026-05-20T22:12:00.924956+00:00,azure,S,csv,list,1,298.82,,,,,,,0.058,,,,,,,
2026-05-20T22:12:01.395437+00:00,azure,S,parquet,list,1,78.92,,,,,,,0.052,,,,,,,
2026-05-20T22:12:03.452750+00:00,azure,S,csv,list,1,298.82,,,,,,,0.05,,,,,,,
2026-05-20T22:12:03.897527+00:00,azure,S,parquet,list,1,78.92,,,,,,,0.046,,,,,,,
2026-05-20T22:12:09.187042+00:00,azure,M,csv,list,5,1494.12,,,,,,,0.105,,,,,,,
2026-05-20T22:12:09.729455+00:00,azure,M,parquet,list,5,394.61,,,,,,,0.121,,,,,,,
2026-05-20T22:12:15.244596+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.096,,,,,,,
2026-05-20T22:12:15.860731+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.11,,,,,,,
2026-05-20T22:12:18.732285+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.072,,,,,,,
2026-05-20T22:12:19.253753+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.102,,,,,,,
2026-05-20T22:12:23.710078+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.094,,,,,,,
2026-05-20T22:12:24.257239+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.117,,,,,,,
2026-05-21T10:28:25.303726+00:00,azure,S,csv,query,,,,,,,,,,Eurozone,10.04.2026,20.04.2026,event_type,363.901,584041,4
2026-05-21T10:34:31.473322+00:00,azure,S,parquet,query,,,,,,,,,,Eurozone,10.04.2026,20.04.2026,event_type,52.767,584041,4
2026-05-21T10:42:20.194066+00:00,aws,S,csv,query,,,,,,,,,,Eurozone,10.04.2026,20.04.2026,event_type,560.254,584041,4
2026-05-21T10:51:43.617494+00:00,aws,S,parquet,query,,,,,,,,,,Eurozone,10.04.2026,20.04.2026,event_type,31.136,584041,4
